"ID","LON","LAT","NAME","CLASS","STATE","ANNUAL"
30670,-687.463,-110.109,"Brasiléia","Sede Municipal","ACRE",4620
30670,-687.442,-110.293,"Epitaciolândia","Sede Municipal","ACRE",4620
30970,-695.658,-109.394,"Assis Brasil","Sede Municipal","ACRE",4615
31603,-684.973,-10.652,"Xapuri","Sede Municipal","ACRE",4607
31929,-676.768,-105.749,"Capixaba","Sede Municipal","ACRE",4542
32906,-67.186,-103.257,"Plácido de Castro","Sede Municipal","ACRE",4523
33560,-677.367,-101.501,"Senador Guiomard","Sede Municipal","ACRE",4558
33567,-670.531,-100.755,"Acrelândia","Sede Municipal","ACRE",4515
33902,-678.253,-99.758,"Rio Branco","Capital Estadual","ACRE",4560
34602,-679.523,-9.834,"Bujari","Sede Municipal","ACRE",4567
35335,-675.408,-95.942,"Porto Acre","Sede Municipal","ACRE",4547
36055,-704.907,-94.469,"Santa Rosa do Purus","Sede Municipal","ACRE",4591
36796,-719.482,-91.969,"Jordão","Sede Municipal","ACRE",4640
37207,-686.718,-90.639,"Sena Madureira","Sede Municipal","ACRE",4539
37924,-728.002,-89.394,"Marechal Thaumaturgo","Sede Municipal","ACRE",4705
38341,-692.684,-88.333,"Manoel Urbano","Sede Municipal","ACRE",4555
40234,-727.542,-82.636,"Porto Walter","Sede Municipal","ACRE",4731
40642,-707.726,-81.574,"Tarauacá","Sede Municipal","ACRE",4602
40646,-703.537,-81.635,"Feijó","Sede Municipal","ACRE",4557
42573,-726.505,-77.342,"Rodrigues Alves","Sede Municipal","ACRE",4680
42962,-729.002,-7.617,"Mâncio Lima","Sede Municipal","ACRE",4703
42965,-726.761,-7.628,"Cruzeiro do Sul","Sede Municipal","ACRE",4663
32868,-364.343,-104.064,"Piaçabuçu","Sede Municipal","ALAGOAS",5441
33196,-365.822,-102.879,"Penedo","Sede Municipal","ALAGOAS",5338
33198,-363.031,-102.939,"Feliz Deserto","Sede Municipal","ALAGOAS",5439
33523,-368.379,-101.853,"Porto Real do Colégio","Sede Municipal","ALAGOAS",5434
33854,-369.019,-101.215,"São Brás","Sede Municipal","ALAGOAS",5399
33855,-368.133,-100.571,"Olho d'Água Grande","Sede Municipal","ALAGOAS",5321
33857,-366.571,-101.284,"Igreja Nova","Sede Municipal","ALAGOAS",5265
33862,-36.172,-101.281,"Coruripe","Sede Municipal","ALAGOAS",5462
34198,-370.025,-99.628,"Traipu","Sede Municipal","ALAGOAS",5463
34201,-367.929,-99.559,"Campo Grande","Sede Municipal","ALAGOAS",5252
34208,-360.145,-100.137,"Jequiá da Praia","Sede Municipal","ALAGOAS",5455
34550,-368.319,-98.845,"Girau do Ponciano","Sede Municipal","ALAGOAS",5290
34552,-36.679,-98.986,"Feira Grande","Sede Municipal","ALAGOAS",5246
34553,-365.501,-99.319,"São Sebastião","Sede Municipal","ALAGOAS",5258
34554,-364.806,-99.074,"Junqueiro","Sede Municipal","ALAGOAS",5237
34555,-36.358,-99.094,"Teotônio Vilela","Sede Municipal","ALAGOAS",5230
34909,-372.773,-98.232,"Belo Monte","Sede Municipal","ALAGOAS",5374
34914,-367.401,-98.294,"Lagoa da Canoa","Sede Municipal","ALAGOAS",5316
34915,-366.618,-97.553,"Arapiraca","Sede Municipal","ALAGOAS",5288
34918,-363.528,-97.849,"Campo Alegre","Sede Municipal","ALAGOAS",5238
